antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({""POPPY'S PLAYHOUSE BEDROOM "", ""POPPY'S PLAYHOUSE LIVINGROOM ""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.011070309968679123,0.018684523166648665,0.010044281239874716,0.9073170731707316,48.559819540391935,1.0,0.00983743777680295,10.587877513201938,0.9903705517380273,0.5095890410958904,0.9055523641302888,0.7224446637529959
"frozenset({'REGENCY CAKESTAND 3 TIER', 'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.014310400691219353,0.03731504482125499,0.012906361378118587,0.9018867924528302,24.16952188515414,1.0,0.012372368134915619,9.81198127393721,0.9725430587784389,0.3333333333333333,0.8980837842958159,0.6238811675722906
frozenset({'REGENCY TEA PLATE PINK'}),frozenset({'REGENCY TEA PLATE GREEN '}),0.01209633869748353,0.01458040825143104,0.010908305432552112,0.9017857142857144,61.84914021164022,1.0,0.010731935875995219,10.033363115985443,0.9958781053572723,0.6917808219178083,0.9003325217636376,0.8249669312169313
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.023544659250459014,0.03731504482125499,0.021060589696511502,0.8944954128440367,23.971441468952058,1.0,0.02018201968127945,9.12457914038984,0.9813901911236277,0.5291723202170964,0.890405904248941,0.7294474169864178
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.014634409763473378,0.042283183929150016,0.012906361378118587,0.8819188191881918,20.857436390455856,1.0,0.012287571938395093,8.110664286100006,0.966195165228055,0.29325153374233126,0.8767055367198724,0.593577544970852
frozenset({'REGENCY TEA PLATE PINK'}),frozenset({'REGENCY TEA PLATE ROSES '}),0.01209633869748353,0.017712495949886598,0.010638297872340425,0.8794642857142857,49.65219403310104,1.0,0.010424041522152792,8.149348181749088,0.9918577503705689,0.5549295774647887,0.877290799497369,0.7400370209059233
"frozenset({'REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.01668646722108219,0.03731504482125499,0.014634409763473378,0.8770226537216829,23.503191753427096,1.0,0.014011753491210293,7.828148714479796,0.9737002038041689,0.3717421124828532,0.8722558760093186,0.6346039462530266
"frozenset({""POPPY'S PLAYHOUSE KITCHEN"", ""POPPY'S PLAYHOUSE LIVINGROOM ""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})",0.011610325089102496,0.01706447780537855,0.010044281239874716,0.8651162790697673,50.69690903738592,1.0,0.009846157105078497,7.287280595580806,0.9917899351360815,0.5391304347826087,0.8627745992645836,0.7268619370032381
"frozenset({'REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.01668646722108219,0.042283183929150016,0.014310400691219353,0.8576051779935274,20.28241722360682,1.0,0.013604843728582602,6.725784003770284,0.9668291752886039,0.3204353083434099,0.8513184486091988,0.5980235340797777
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.01360838103466897,0.018684523166648665,0.011610325089102496,0.8531746031746033,45.66210202770897,1.0,0.011356058978399641,6.683554058432558,0.9915939895956142,0.5613577023498696,0.850379006250677,0.7372809432057987
frozenset({'REGENCY TEA PLATE GREEN '}),frozenset({'REGENCY TEA PLATE ROSES '}),0.01458040825143104,0.017712495949886598,0.012366346257695216,0.8481481481481482,47.884168925022585,1.0,0.01210809083559405,6.468722587647091,0.9936034145753126,0.6205962059620596,0.8454099729195936,0.7731594399277326
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.024840695539475106,0.042283183929150016,0.021060589696511502,0.8478260869565217,20.051141096118606,1.0,0.02001024599808786,6.293567648465586,0.9743305758368334,0.4572098475967175,0.8411076108407595,0.6729551890721306
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.020196565503834106,0.042283183929150016,0.016848471757209202,0.8342245989304813,19.72946503575307,1.0,0.015994496663273457,5.777194987266095,0.9688824871116538,0.36923076923076925,0.8269056173101016,0.6163460159403364
frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.015390430932066098,0.017550491413759584,0.012744356841991576,0.8280701754385965,47.18216464237518,1.0,0.012474247216064289,5.714247141777113,0.9941052589502921,0.6310160427807486,0.8249988187089503,0.7771120107962214
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.030024840695539474,0.03731504482125499,0.024840695539475106,0.827338129496403,22.17170402607003,1.0,0.02372031726317001,5.575550365410233,0.9844555898200549,0.5844980940279543,0.8206455086113418,0.7465200054139034
frozenset({'WOODEN TREE CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),0.014904417323685063,0.023382654714332003,0.012204341721568203,0.8188405797101449,35.01914516183017,1.0,0.011855836877570167,5.390927745976887,0.9861420644569131,0.46790890269151125,0.8145031714167799,0.6703902667603843
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})",0.01360838103466897,0.01706447780537855,0.011070309968679123,0.8134920634920636,47.67166465742416,1.0,0.01083809005254588,5.27020748070308,0.9925299036194128,0.5647382920110193,0.8102541496399315,0.7311131203536267
"frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.01706447780537855,0.018684523166648665,0.013716384058753646,0.8037974683544304,43.01942635545475,1.0,0.013397542427872288,5.001543398053856,0.993711861723251,0.6225490196078434,0.8000617168714145,0.7689507572986025
"frozenset({'JUMBO BAG PINK POLKADOT', 'JUMBO BAG STRAWBERRY'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.015822443028404794,0.08640241926773949,0.012528350793822227,0.7918088737201365,9.16419795221843,1.0,0.011161253437442075,4.3882637894188905,0.905202213707961,0.13967489464178207,0.7721194422242279,0.4684044368600683
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.030024840695539474,0.042283183929150016,0.023544659250459014,0.7841726618705036,18.54573352812003,1.0,0.02227511338888609,4.437421247794939,0.9753644033428368,0.4828349944629014,0.774643887934479,0.6705026783171164
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.03731504482125499,0.042283183929150016,0.029214818014904418,0.7829232995658466,18.516186029834415,1.0,0.027637019111402816,4.4118821326997155,0.9826612460465428,0.579849946409432,0.773339366301683,0.7369278055939067
