antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Group
"frozenset({'HAND WARMER RED LOVE HEART', 'HAND WARMER BIRD DESIGN', 'HAND WARMER SCOTTY DOG DESIGN'})",frozenset({'HAND WARMER OWL DESIGN'}),0.02570694087403599,0.08483290488431877,0.02313624678663239,0.8999999999999999,10.609090909090908,1.0,0.02095545231659849,9.151670951156804,0.9296394019349165,0.2647058823529412,0.8907303370786516,0.5863636363636363,圣诞季
"frozenset({'HAND WARMER RED LOVE HEART', 'HAND WARMER SCOTTY DOG DESIGN'})",frozenset({'HAND WARMER OWL DESIGN'}),0.033419023136246784,0.08483290488431877,0.02956298200514139,0.8846153846153847,10.427738927738927,1.0,0.026727949194097315,7.931448157669242,0.9353607770582794,0.3333333333333333,0.8739196197061367,0.6165501165501166,圣诞季
"frozenset({'HAND WARMER BIRD DESIGN', 'HAND WARMER RED LOVE HEART', 'HAND WARMER OWL DESIGN'})",frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),0.02699228791773779,0.056555269922879174,0.02313624678663239,0.8571428571428571,15.155844155844155,1.0,0.02160969065760866,6.604113110539844,0.959929546455306,0.3829787234042554,0.8485792137018294,0.6331168831168831,圣诞季
"frozenset({'HAND WARMER RED LOVE HEART', 'HAND WARMER BIRD DESIGN'})",frozenset({'HAND WARMER OWL DESIGN'}),0.032133676092544985,0.08483290488431877,0.02699228791773779,0.8400000000000001,9.901818181818182,1.0,0.024266294830195413,5.71979434447301,0.9288560045532158,0.3,0.8251685393258428,0.5790909090909091,圣诞季
"frozenset({'HAND WARMER BIRD DESIGN', 'HAND WARMER SCOTTY DOG DESIGN'})",frozenset({'HAND WARMER OWL DESIGN'}),0.038560411311053984,0.08483290488431877,0.032133676092544985,0.8333333333333333,9.823232323232322,1.0,0.028862484387494135,5.491002570694085,0.9342245989304814,0.352112676056338,0.8178838951310861,0.606060606060606,圣诞季
"frozenset({'HAND WARMER OWL DESIGN', 'HAND WARMER SCOTTY DOG DESIGN'})",frozenset({'HAND WARMER BIRD DESIGN'}),0.03984575835475578,0.06426735218508997,0.032133676092544985,0.8064516129032258,12.548387096774194,1.0,0.029572894707277905,4.834618680377034,0.9585006693440429,0.4464285714285714,0.793158454448777,0.6532258064516129,圣诞季
"frozenset({'HAND WARMER RED LOVE HEART', 'HAND WARMER BIRD DESIGN'})",frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),0.032133676092544985,0.056555269922879174,0.02570694087403599,0.8,14.145454545454546,1.0,0.02388961214900774,4.7172236503856055,0.9601593625498009,0.40816326530612257,0.7880108991825614,0.6272727272727273,圣诞季
"frozenset({'CLASSIC BICYCLE CLIPS ', 'CLASSIC CHROME BICYCLE BELL '})",frozenset({'BICYCLE PUNCTURE REPAIR KIT '}),0.032133676092544985,0.07840616966580977,0.02570694087403599,0.8,10.203278688524591,1.0,0.023187462414337733,4.607969151670952,0.9319389110225764,0.3030303030303031,0.7829846582984659,0.5639344262295083,圣诞季
frozenset({'LARGE YELLOW BABUSHKA NOTEBOOK '}),frozenset({'LARGE RED BABUSHKA NOTEBOOK '}),0.02570694087403599,0.03470437017994859,0.02056555269922879,0.7999999999999999,23.051851851851847,1.0,0.019673409506942192,4.8264781491002555,0.9818601583113455,0.5161290322580644,0.7928095872170439,0.6962962962962962,圣诞季
frozenset({'LARGE YELLOW BABUSHKA NOTEBOOK '}),frozenset({'LARGE PURPLE BABUSHKA NOTEBOOK  '}),0.02570694087403599,0.038560411311053984,0.02056555269922879,0.7999999999999999,20.746666666666666,1.0,0.019574282485577018,4.807197943444728,0.9769129287598945,0.4705882352941176,0.7919786096256684,0.6666666666666666,圣诞季
"frozenset({'HAND WARMER OWL DESIGN', 'HAND WARMER UNION JACK'})",frozenset({'HAND WARMER RED LOVE HEART'}),0.030848329048843187,0.06940874035989718,0.02442159383033419,0.7916666666666666,11.405864197530862,1.0,0.022280450168846357,4.466838046272493,0.941365349713807,0.3220338983050847,0.7761279926335175,0.5717592592592592,圣诞季
frozenset({'SMALL YELLOW BABUSHKA NOTEBOOK '}),frozenset({'SMALL RED BABUSHKA NOTEBOOK '}),0.030848329048843187,0.037275064267352186,0.02442159383033419,0.7916666666666666,21.238505747126435,1.0,0.023271720382498133,4.621079691516709,0.9832472427753735,0.5588235294117646,0.7836003560302626,0.7234195402298851,圣诞季
frozenset({'SMALL PURPLE BABUSHKA NOTEBOOK '}),frozenset({'SMALL RED BABUSHKA NOTEBOOK '}),0.03598971722365039,0.037275064267352186,0.028277634961439587,0.7857142857142856,21.078817733990142,1.0,0.026936115938964188,4.4927163667523535,0.9881212121212122,0.6285714285714286,0.7774175090596985,0.772167487684729,圣诞季
"frozenset({'HAND WARMER RED LOVE HEART', 'HAND WARMER OWL DESIGN', 'HAND WARMER SCOTTY DOG DESIGN'})",frozenset({'HAND WARMER BIRD DESIGN'}),0.02956298200514139,0.06426735218508997,0.02313624678663239,0.7826086956521738,12.177391304347825,1.0,0.02123631221046649,4.3043701799485845,0.9458425312729949,0.32727272727272727,0.7676779741997133,0.5713043478260869,圣诞季
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE '}),0.028277634961439587,0.037275064267352186,0.021850899742930592,0.7727272727272728,20.730407523510973,1.0,0.020796849082414207,4.235989717223652,0.9794584500466853,0.5000000000000001,0.7639276611239229,0.6794670846394986,圣诞季
"frozenset({'HAND WARMER RED LOVE HEART', 'HAND WARMER SCOTTY DOG DESIGN'})",frozenset({'HAND WARMER BIRD DESIGN'}),0.033419023136246784,0.06426735218508997,0.02570694087403599,0.7692307692307693,11.969230769230771,1.0,0.023559188744457147,4.054841473864611,0.9481382978723404,0.3571428571428572,0.753381234150465,0.5846153846153846,圣诞季
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.055269922879177376,0.05912596401028278,0.042416452442159386,0.7674418604651163,12.979777553083924,1.0,0.03914856497115404,4.045758354755784,0.9769532055246343,0.5892857142857144,0.7528275511500826,0.7424165824064712,圣诞季
"frozenset({'HOT WATER BOTTLE I AM SO POORLY', 'HOT WATER BOTTLE KEEP CALM'})",frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.02699228791773779,0.07069408740359898,0.02056555269922879,0.7619047619047619,10.777489177489176,1.0,0.018657357537949126,3.9030848329048835,0.9323811096433288,0.2666666666666666,0.7437923993940591,0.5264069264069264,圣诞季
frozenset({'HAND WARMER BIRD DESIGN'}),frozenset({'HAND WARMER OWL DESIGN'}),0.06426735218508997,0.08483290488431877,0.04884318766066838,0.76,8.958787878787879,1.0,0.043391201485583626,3.8131962296486717,0.9493927125506073,0.4871794871794871,0.737752808988764,0.6678787878787878,圣诞季
frozenset({'SMALL RED BABUSHKA NOTEBOOK '}),frozenset({'SMALL PURPLE BABUSHKA NOTEBOOK '}),0.037275064267352186,0.03598971722365039,0.028277634961439587,0.7586206896551724,21.078817733990146,1.0,0.026936115938964188,3.9937568857877332,0.9894404660759801,0.6285714285714286,0.7496091954022988,0.772167487684729,圣诞季
frozenset({'CLASSIC BICYCLE CLIPS '}),frozenset({'BICYCLE PUNCTURE REPAIR KIT '}),0.05784061696658098,0.07840616966580977,0.043701799485861184,0.7555555555555555,9.636429872495446,1.0,0.03916673825840432,3.7701565786398685,0.9512478934274937,0.47222222222222215,0.734759026809236,0.6564663023679418,圣诞季
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.056555269922879174,0.06683804627249357,0.042416452442159386,0.7500000000000001,11.221153846153848,1.0,0.03863640869410062,3.7326478149100275,0.9654859218891916,0.5238095238095238,0.7320936639118458,0.6923076923076924,圣诞季
"frozenset({'HAND WARMER OWL DESIGN', 'HAND WARMER SCOTTY DOG DESIGN'})",frozenset({'HAND WARMER RED LOVE HEART'}),0.03984575835475578,0.06940874035989718,0.02956298200514139,0.7419354838709677,10.68936678614098,1.0,0.02679733810905294,3.6060411311053984,0.9440661195506664,0.3709677419354839,0.722687577971841,0.5839307048984468,圣诞季
"frozenset({'BICYCLE PUNCTURE REPAIR KIT ', 'CLASSIC CHROME BICYCLE BELL '})",frozenset({'CLASSIC BICYCLE CLIPS '}),0.03470437017994859,0.05784061696658098,0.02570694087403599,0.7407407407407407,12.806584362139917,1.0,0.023699618691391148,3.634043334557473,0.9550599201065245,0.38461538461538464,0.7248244151381941,0.5925925925925926,圣诞季
frozenset({'LARGE RED BABUSHKA NOTEBOOK '}),frozenset({'LARGE PURPLE BABUSHKA NOTEBOOK  '}),0.03470437017994859,0.038560411311053984,0.02570694087403599,0.7407407407407407,19.209876543209877,1.0,0.024368726085606095,3.708409842085934,0.9820239680426097,0.5405405405405406,0.7303426421073479,0.7037037037037037,圣诞季
"frozenset({'HAND WARMER RED LOVE HEART', 'HAND WARMER UNION JACK'})",frozenset({'HAND WARMER OWL DESIGN'}),0.033419023136246784,0.08483290488431877,0.02442159383033419,0.7307692307692308,8.614219114219114,1.0,0.021586561019290115,3.399192067572531,0.9144736842105262,0.26027397260273966,0.7058124459809854,0.5093240093240093,圣诞季
"frozenset({'HAND WARMER BIRD DESIGN', 'HAND WARMER OWL DESIGN', 'HAND WARMER SCOTTY DOG DESIGN'})",frozenset({'HAND WARMER RED LOVE HEART'}),0.032133676092544985,0.06940874035989718,0.02313624678663239,0.72,10.373333333333331,1.0,0.0209058888059159,3.323540213000367,0.9335989375830014,0.29508196721311475,0.6991160220994475,0.5266666666666666,圣诞季
"frozenset({'HAND WARMER RED LOVE HEART', 'HAND WARMER BIRD DESIGN'})","frozenset({'HAND WARMER OWL DESIGN', 'HAND WARMER SCOTTY DOG DESIGN'})",0.032133676092544985,0.03984575835475578,0.02313624678663239,0.72,18.06967741935484,1.0,0.02185585609399885,3.4291222915901574,0.9760218385716394,0.4736842105263159,0.708380187416332,0.6503225806451614,圣诞季
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.05912596401028278,0.055269922879177376,0.042416452442159386,0.7173913043478262,12.979777553083926,1.0,0.03914856497115404,3.3428910421198346,0.9809571121046533,0.5892857142857144,0.7008577343981072,0.7424165824064712,圣诞季
frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),frozenset({'HAND WARMER OWL DESIGN'}),0.056555269922879174,0.08483290488431877,0.03984575835475578,0.7045454545454546,8.305096418732782,1.0,0.0350480105206812,3.097488629622306,0.9323195921596202,0.3924050632911392,0.6771578140960164,0.5871212121212122,圣诞季
frozenset({'JUMBO BAG VINTAGE CHRISTMAS '}),"frozenset({""JUMBO BAG 50'S CHRISTMAS ""})",0.038560411311053984,0.07455012853470437,0.02699228791773779,0.7,9.389655172413793,1.0,0.024117604298147646,3.0848329048843186,0.9293353705118412,0.3134328358208955,0.6758333333333333,0.5310344827586206,圣诞季
