antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Group
"frozenset({'REGENCY TEA PLATE PINK', 'REGENCY TEA PLATE GREEN '})",frozenset({'REGENCY TEA PLATE ROSES '}),0.012599800399201597,0.021457085828343315,0.011726546906187624,0.9306930693069306,43.374625834676486,1.0,0.011456191907601962,14.118976333048177,0.9894114326420343,0.5251396648044693,0.9291733354875518,0.7386023486069537,至尊VIP
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.014471057884231538,0.04715568862275449,0.013223552894211578,0.9137931034482759,19.378215654077724,1.0,0.012541160194580899,11.052994011976056,0.9623214712204443,0.2731958762886598,0.9095267762819297,0.5971081919357781,至尊VIP
"frozenset({'REGENCY TEA PLATE PINK', 'REGENCY TEA PLATE ROSES '})",frozenset({'REGENCY TEA PLATE GREEN '}),0.012849301397205588,0.016716566866267466,0.011726546906187624,0.9126213592233009,54.59382698159686,1.0,0.011511750700196412,11.253132623641596,0.9944610404102058,0.6573426573426573,0.911135855815019,0.8070569482683668,至尊VIP
frozenset({'SMALL CHOCOLATES PINK BOWL'}),frozenset({'SMALL DOLLY MIX DESIGN ORANGE BOWL'}),0.012350299401197605,0.02382734530938124,0.010978043912175649,0.888888888888889,37.30541012216405,1.0,0.01068376906366907,8.785553892215574,0.9853637741568776,0.43564356435643564,0.8861767838125666,0.6748109365910413,至尊VIP
frozenset({'REGENCY TEA PLATE GREEN '}),frozenset({'REGENCY TEA PLATE ROSES '}),0.016716566866267466,0.021457085828343315,0.014845309381237525,0.8880597014925373,41.38771259979173,1.0,0.014486620571232784,8.7416500332668,0.992428232394201,0.6363636363636364,0.8856051207501503,0.7899600833044083,至尊VIP
frozenset({'REGENCY TEA PLATE PINK'}),frozenset({'REGENCY TEA PLATE ROSES '}),0.014471057884231538,0.021457085828343315,0.012849301397205588,0.8879310344827586,41.381716118684835,1.0,0.012538794666156709,8.731613695685548,0.9901634509032813,0.5567567567567566,0.8854736323831964,0.7433841218925421,至尊VIP
"frozenset({'REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.017340319361277445,0.04715568862275449,0.015344311377245509,0.8848920863309352,18.76533059266872,1.0,0.014526616676825988,8.277834955089816,0.9634161823400639,0.3121827411167513,0.8791954653088211,0.6051444558638803,至尊VIP
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.02632235528942116,0.04715568862275449,0.02307884231536926,0.8767772511848341,18.593244564808547,1.0,0.0218375935255238,7.732698065407644,0.9717970116176393,0.4579207920792079,0.8706790318797629,0.6830976203014117,至尊VIP
frozenset({'SMALL MARSHMALLOWS PINK BOWL'}),frozenset({'SMALL DOLLY MIX DESIGN ORANGE BOWL'}),0.018338323353293412,0.02382734530938124,0.015968063872255488,0.8707482993197279,36.544075221711715,1.0,0.015531110309321475,7.5524936968168905,0.9908054946626002,0.6095238095238094,0.8675934015778836,0.7704526836912775,至尊VIP
frozenset({'REGENCY TEA PLATE PINK'}),frozenset({'REGENCY TEA PLATE GREEN '}),0.014471057884231538,0.016716566866267466,0.012599800399201597,0.8706896551724137,52.08543489449304,1.0,0.012357893992454213,7.604058549567527,0.995202406316581,0.6778523489932885,0.8684912808756747,0.8122104992279979,至尊VIP
