StockCode,Total_Sold,First_Sale,Last_Sale,Active_Days,Order_Count,Sales_Period,Days_Since_Last,Avg_Sales_Per_Day,Turnover_Rate,Is_Slow_Mover
21895,1,2010-12-01 12:31:00,2010-12-01 12:31:00,1,1,1,5223,1.0,1.0,1
84854,5,2010-12-01 09:41:00,2010-12-01 09:41:00,1,1,1,5223,5.0,5.0,1
21488,3,2010-12-01 12:35:00,2010-12-01 16:58:00,2,2,1,5222,1.5,3.0,1
21777,7,2010-12-01 08:34:00,2010-12-01 16:49:00,3,3,1,5222,2.3333333333333335,7.0,1
35271S,19,2010-12-01 17:35:00,2010-12-02 13:49:00,2,2,1,5222,9.5,19.0,1
82615,36,2010-12-01 16:11:00,2010-12-01 16:11:00,1,1,1,5222,36.0,36.0,1
47503J,1,2010-12-03 12:24:00,2010-12-03 12:24:00,1,1,1,5221,1.0,1.0,1
21268,2,2010-12-02 15:46:00,2010-12-02 15:46:00,1,1,1,5221,2.0,2.0,1
16161M,25,2010-12-02 18:15:00,2010-12-02 18:15:00,1,1,1,5221,25.0,25.0,1
22275,69,2010-12-02 16:51:00,2010-12-02 16:51:00,1,1,1,5221,69.0,69.0,1
90128B,1,2010-12-03 14:54:00,2010-12-03 14:54:00,1,1,1,5220,1.0,1.0,1
90152B,1,2010-12-03 14:54:00,2010-12-03 14:54:00,1,1,1,5220,1.0,1.0,1
84614A,2,2010-12-03 15:45:00,2010-12-03 15:45:00,1,1,1,5220,2.0,2.0,1
47579,1,2010-12-05 13:00:00,2010-12-05 13:00:00,1,1,1,5219,1.0,1.0,1
22034,3,2010-12-05 13:03:00,2010-12-05 13:03:00,1,1,1,5219,3.0,3.0,1
84773,3,2010-12-05 14:25:00,2010-12-05 14:25:00,1,1,1,5219,3.0,3.0,1
84963A,4,2010-12-05 11:57:00,2010-12-05 11:57:00,1,1,1,5219,4.0,4.0,1
21486,8,2010-12-01 12:43:00,2010-12-05 12:13:00,4,4,4,5219,2.0,2.0,1
90167,10,2010-12-05 11:10:00,2010-12-05 11:10:00,1,1,1,5219,10.0,10.0,1
35597A,1,2010-12-06 12:15:00,2010-12-06 12:15:00,1,1,1,5218,1.0,1.0,1
35597B,1,2010-12-06 12:15:00,2010-12-06 12:15:00,1,1,1,5218,1.0,1.0,1
37461,1,2010-12-05 15:12:00,2010-12-05 15:12:00,1,1,1,5218,1.0,1.0,1
90179C,1,2010-12-06 12:47:00,2010-12-06 12:47:00,1,1,1,5218,1.0,1.0,1
37509,2,2010-12-05 14:06:00,2010-12-06 11:01:00,2,2,1,5218,1.0,2.0,1
20878,24,2010-12-01 12:23:00,2010-12-05 16:24:00,7,7,5,5218,3.4285714285714284,4.8,1
16169N,25,2010-12-06 12:06:00,2010-12-06 12:06:00,1,1,1,5218,25.0,25.0,1
84613C,1,2010-12-08 12:35:00,2010-12-08 12:35:00,1,1,1,5216,1.0,1.0,1
85170A,1,2010-12-07 15:54:00,2010-12-07 15:54:00,1,1,1,5216,1.0,1.0,1
90212B,3,2010-12-08 10:35:00,2010-12-08 10:35:00,1,1,1,5216,3.0,3.0,1
21769,11,2010-12-02 12:18:00,2010-12-07 16:43:00,2,2,6,5216,5.5,1.8333333333333333,1
22765,25,2010-12-01 15:35:00,2010-12-07 16:43:00,3,3,7,5216,8.333333333333334,3.5714285714285716,1
22145,30,2010-12-08 14:43:00,2010-12-08 14:43:00,1,1,1,5216,30.0,30.0,1
20892,1,2010-12-08 15:17:00,2010-12-08 15:17:00,1,1,1,5215,1.0,1.0,1
21538,5,2010-12-02 11:41:00,2010-12-09 13:34:00,2,2,8,5215,2.5,0.625,1
84975,5,2010-12-06 14:36:00,2010-12-08 15:12:00,2,2,3,5215,2.5,1.6666666666666667,1
20671,10,2010-12-05 13:55:00,2010-12-09 13:34:00,2,2,4,5215,5.0,2.5,1
21011,18,2010-12-05 10:45:00,2010-12-08 15:56:00,2,2,4,5215,9.0,4.5,1
35004P,1,2010-12-10 13:27:00,2010-12-10 13:27:00,1,1,1,5214,1.0,1.0,1
20861,2,2010-12-06 12:55:00,2010-12-10 11:24:00,2,2,4,5214,1.0,0.5,1
35958,12,2010-12-05 13:05:00,2010-12-09 14:55:00,3,3,5,5214,4.0,2.4,1
90078,2,2010-12-13 14:16:00,2010-12-13 14:16:00,1,1,1,5211,2.0,2.0,1
35610B,24,2010-12-13 09:52:00,2010-12-13 09:52:00,1,1,1,5211,24.0,24.0,1
35610C,24,2010-12-13 09:52:00,2010-12-13 09:52:00,1,1,1,5211,24.0,24.0,1
85136B,2,2010-12-12 12:44:00,2010-12-14 13:31:00,2,2,3,5210,1.0,0.6666666666666666,1
